Barra de São Miguel;Código: 2501708

Ensino - Matrículas, Docentes e Rede Escolar 2009
Matrícula - Ensino fundamental - 2009 (1);1.057;Matrículas
Matrícula - Ensino fundamental - escola pública estadual - 2009 (1);92;Matrículas
Matrícula - Ensino fundamental - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino fundamental - escola pública municipal - 2009 (1);965;Matrículas
Matrícula - Ensino fundamental - escola privada - 2009 (1);0;Matrículas
Matrícula - Ensino médio - 2009 (1);197;Matrículas
Matrícula - Ensino médio - escola pública estadual - 2009 (1);197;Matrículas
Matrícula - Ensino médio - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino médio - escola pública municipal - 2009 (1);0;Matrículas
Matrícula - Ensino médio - escola privada - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - 2009 (1);154;Matrículas
Matrícula - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública municipal - 2009 (1);154;Matrículas
Matrícula - Ensino pré-escolar - escola privada - 2009 (1);0;Matrículas
Docentes - Ensino fundamental - 2009 (1);65;Docentes
Docentes - Ensino fundamental - escola pública estadual - 2009 (1);4;Docentes
Docentes - Ensino fundamental - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino fundamental - escola pública municipal - 2009 (1);61;Docentes
Docentes - Ensino fundamental - escola privada - 2009 (1);0;Docentes
Docentes - Ensino médio - 2009 (1);10;Docentes
Docentes - Ensino médio - escola pública estadual - 2009 (1);10;Docentes
Docentes - Ensino médio - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino médio - escola pública municipal - 2009 (1);0;Docentes
Docentes - Ensino médio - escola privada - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - 2009 (1);10;Docentes
Docentes - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública municipal - 2009 (1);10;Docentes
Docentes - Ensino pré-escolar - escola privada - 2009 (1);0;Docentes
Escolas - Ensino fundamental - 2009 (1);7;Escolas
Escolas - Ensino fundamental - escola pública estadual - 2009 (1);1;Escolas
Escolas - Ensino fundamental - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino fundamental - escola pública municipal - 2009 (1);6;Escolas
Escolas - Ensino fundamental - escola privada - 2009 (1);0;Escolas
Escolas - Ensino médio - 2009 (1);1;Escolas
Escolas - Ensino médio - escola pública estadual - 2009 (1);1;Escolas
Escolas - Ensino médio - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino médio - escola pública municipal - 2009 (1);0;Escolas
Escolas - Ensino médio - escola privada - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - 2009 (1);6;Escolas
Escolas - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública municipal - 2009 (1);6;Escolas
Escolas - Ensino pré-escolar - escola privada - 2009 (1);0;Escolas

Fonte: (1)Ministério da Educação, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - Censo Educacional 2009. 
NOTA: Atribui-se zeros aos valores dos municípios onde não há ocorrência da variável.

